User,Function,Return value,Execution (us),Reset (us)
polybench,poly_covariance,0,8803620,0
polybench,poly_correlation,0,8867406,0
polybench,poly_2mm,0,1909631,0
polybench,poly_3mm,0,9610593,0
polybench,poly_atax,0,25488,0
polybench,poly_bicg,0,25416,0
polybench,poly_doitgen,0,545526,0
polybench,poly_mvt,0,59434,0
polybench,poly_cholesky,0,63447961,0
polybench,poly_durbin,0,8826,0
polybench,poly_gramschmidt,0,21993602,0
polybench,poly_lu,0,72192082,0
polybench,poly_ludcmp,0,72779542,0
polybench,poly_trisolv,0,16064,0
polybench,poly_deriche,0,538295,0
polybench,poly_floyd-warshall,0,28458388,0
polybench,poly_nussinov,0,12561104,0
polybench,poly_adi,0,13511445,0
polybench,poly_fdtd-2d,0,732376,0
polybench,poly_heat-3d,0,1448100,0
polybench,poly_jacobi-1d,0,6398,0
polybench,poly_jacobi-2d,0,790039,0
polybench,poly_seidel-2d,0,18896656,0
