User,Function,Return value,Execution (us),Reset (us)
python,bench_chaos,0,564854,6827
python,bench_chaos,0,564188,6500
python,bench_chaos,0,567835,6552
python,bench_chaos,0,586541,8123
python,bench_chaos,0,564158,6594
python,bench_chaos,0,562076,6524
python,bench_chaos,0,562370,6563
python,bench_chaos,0,563890,6504
python,bench_chaos,0,562249,6513
python,bench_chaos,0,564674,6531
python,bench_deltablue,0,109580,6634
python,bench_deltablue,0,112077,6739
python,bench_deltablue,0,109278,6780
python,bench_deltablue,0,109820,6514
python,bench_deltablue,0,109712,6732
python,bench_deltablue,0,112842,6777
python,bench_deltablue,0,110849,6623
python,bench_deltablue,0,108986,6603
python,bench_deltablue,0,109439,6793
python,bench_deltablue,0,107807,6709
python,bench_dulwich,0,225263,5711
python,bench_dulwich,0,232572,6092
python,bench_dulwich,0,235176,6347
python,bench_dulwich,0,225804,5768
python,bench_dulwich,0,228989,5769
python,bench_dulwich,0,228939,5754
python,bench_dulwich,0,234728,5896
python,bench_dulwich,0,227419,5712
python,bench_dulwich,0,229346,5817
python,bench_dulwich,0,234350,5932
python,bench_fannkuch,0,96561,6393
python,bench_fannkuch,0,94646,6582
python,bench_fannkuch,0,97506,6329
python,bench_fannkuch,0,96891,6351
python,bench_fannkuch,0,98038,6576
python,bench_fannkuch,0,95296,6452
python,bench_fannkuch,0,96724,6406
python,bench_fannkuch,0,96462,6438
python,bench_fannkuch,0,97188,6517
python,bench_fannkuch,0,94625,6346
python,bench_float,0,109810,6520
python,bench_float,0,114006,6476
python,bench_float,0,112501,6381
python,bench_float,0,112784,6420
python,bench_float,0,112505,6419
python,bench_float,0,113398,6531
python,bench_float,0,112021,6363
python,bench_float,0,112238,6353
python,bench_float,0,112570,6519
python,bench_float,0,110315,6426
python,bench_genshi,0,604092,7953
python,bench_genshi,0,627919,10563
python,bench_genshi,0,609762,8077
python,bench_genshi,0,612371,7910
python,bench_genshi,0,605493,7872
python,bench_genshi,0,609116,7881
python,bench_genshi,0,606801,7976
python,bench_genshi,0,606085,7962
python,bench_genshi,0,602338,7966
python,bench_genshi,0,610944,8041
python,bench_go,0,563094,8575
python,bench_go,0,550352,7139
python,bench_go,0,549740,6852
python,bench_go,0,547405,6912
python,bench_go,0,551029,7054
python,bench_go,0,554101,6980
python,bench_go,0,553449,7082
python,bench_go,0,551439,7051
python,bench_go,0,549741,7018
python,bench_go,0,563579,8577
python,bench_hexiom,0,279907,6635
python,bench_hexiom,0,280075,6750
python,bench_hexiom,0,275251,6487
python,bench_hexiom,0,276839,6556
python,bench_hexiom,0,278233,6635
python,bench_hexiom,0,288292,6523
python,bench_hexiom,0,278796,6667
python,bench_hexiom,0,278259,6625
python,bench_hexiom,0,279200,6682
python,bench_hexiom,0,276950,6513
python,bench_json_dumps,0,494421,7134
python,bench_json_dumps,0,490970,6787
python,bench_json_dumps,0,487323,7008
python,bench_json_dumps,0,489055,6972
python,bench_json_dumps,0,502333,8244
python,bench_json_dumps,0,489076,6868
python,bench_json_dumps,0,488285,6650
python,bench_json_dumps,0,483741,6652
python,bench_json_dumps,0,487916,6616
python,bench_json_dumps,0,494676,6820
python,bench_json_loads,0,98251,6452
python,bench_json_loads,0,97380,6568
python,bench_json_loads,0,98435,6416
python,bench_json_loads,0,97643,6548
python,bench_json_loads,0,97521,6718
python,bench_json_loads,0,98291,6385
python,bench_json_loads,0,98067,6521
python,bench_json_loads,0,99115,6534
python,bench_json_loads,0,96799,6348
python,bench_json_loads,0,97843,6610
python,bench_logging,0,212252,6495
python,bench_logging,0,206695,6447
python,bench_logging,0,213598,6572
python,bench_logging,0,217766,6612
python,bench_logging,0,211894,6474
python,bench_logging,0,212126,6679
python,bench_logging,0,222781,7906
python,bench_logging,0,220492,8151
python,bench_logging,0,218966,6667
python,bench_logging,0,213993,6531
python,bench_mdp,0,4507802,8794
python,bench_mdp,0,4440544,7321
python,bench_mdp,0,4495515,10430
python,bench_mdp,0,4489322,8199
python,bench_mdp,0,4485571,9861
python,bench_mdp,0,4478385,8476
python,bench_mdp,0,4496369,9820
python,bench_mdp,0,4473302,10505
python,bench_mdp,0,4495526,9867
python,bench_mdp,0,4531452,10316
python,bench_nbody,0,2090632,8147
python,bench_nbody,0,2090741,6796
python,bench_nbody,0,2089078,6759
python,bench_nbody,0,2089262,8054
python,bench_nbody,0,2067985,6707
python,bench_nbody,0,2091169,8138
python,bench_nbody,0,2059949,6625
python,bench_nbody,0,2085269,6632
python,bench_nbody,0,2108954,8255
python,bench_nbody,0,2080750,6725
python,bench_pickle,0,118113,2914
python,bench_pickle,0,119610,2916
python,bench_pickle,0,119835,2904
python,bench_pickle,0,115408,2956
python,bench_pickle,0,117970,2905
python,bench_pickle,0,119775,2975
python,bench_pickle,0,128163,2920
python,bench_pickle,0,117871,2982
python,bench_pickle,0,118741,2919
python,bench_pickle,0,119130,3026
python,bench_pidigits,0,2323455,8074
python,bench_pidigits,0,2315434,6732
python,bench_pidigits,0,2341182,8199
python,bench_pidigits,0,2329578,7277
python,bench_pidigits,0,2338692,8134
python,bench_pidigits,0,2334488,8094
python,bench_pidigits,0,2333097,8223
python,bench_pidigits,0,2320403,6887
python,bench_pidigits,0,2320069,6919
python,bench_pidigits,0,2327031,8173
python,bench_pyaes,0,3593636,8300
python,bench_pyaes,0,3569419,6797
python,bench_pyaes,0,3588973,8128
python,bench_pyaes,0,3611358,9419
python,bench_pyaes,0,3573741,7130
python,bench_pyaes,0,3590162,9449
python,bench_pyaes,0,3577245,8639
python,bench_pyaes,0,3584504,7321
python,bench_pyaes,0,3616459,9439
python,bench_pyaes,0,3604341,8411
python,bench_pyflate,0,1252145,8256
python,bench_pyflate,0,1248016,8059
python,bench_pyflate,0,1239838,8080
python,bench_pyflate,0,1272537,8258
python,bench_pyflate,0,1265594,8261
python,bench_pyflate,0,1259777,8246
python,bench_pyflate,0,1256331,8416
python,bench_pyflate,0,1270260,8142
python,bench_pyflate,0,1290302,8248
python,bench_pyflate,0,1247245,8236
python,bench_raytrace,0,2107533,8154
python,bench_raytrace,0,2083266,7955
python,bench_raytrace,0,2062584,6674
python,bench_raytrace,0,2093313,8061
python,bench_raytrace,0,2058952,6703
python,bench_raytrace,0,2111113,9539
python,bench_raytrace,0,2071642,7315
python,bench_raytrace,0,2083089,7691
python,bench_raytrace,0,2076439,8133
python,bench_raytrace,0,2069723,6657
python,bench_richards,0,381923,6563
python,bench_richards,0,374603,6633
python,bench_richards,0,373784,6466
python,bench_richards,0,382101,6836
python,bench_richards,0,371703,6613
python,bench_richards,0,388346,7768
python,bench_richards,0,374434,6601
python,bench_richards,0,377276,6474
python,bench_richards,0,374624,6600
python,bench_richards,0,380473,6645
python,bench_scimark,0,1488200,2517
python,bench_scimark,0,1495784,2440
python,bench_scimark,0,1513635,2930
python,bench_scimark,0,1492431,2434
python,bench_scimark,0,1484212,2484
python,bench_scimark,0,1507971,3048
python,bench_scimark,0,1493298,2505
python,bench_scimark,0,1483978,2432
python,bench_scimark,0,1485163,2466
python,bench_scimark,0,1508587,3008
python,bench_spectral_norm,0,520952,6662
