User,Function,Return value,Execution (us),Reset (us)
python,bench_chaos,0,868411,3578.4
python,bench_chaos,0,838897,3411.44
python,bench_chaos,0,846584,5093.44
python,bench_chaos,0,862078,3335.12
python,bench_chaos,0,842413,4885.75
python,bench_chaos,0,849750,3883.34
python,bench_chaos,0,840988,5004.7
python,bench_chaos,0,838447,3272.85
python,bench_chaos,0,861809,3464.04
python,bench_chaos,0,840317,5072.67
python,bench_deltablue,0,99299.5,3253.95
python,bench_deltablue,0,98740.2,3169.3
python,bench_deltablue,0,99381.1,3229.89
python,bench_deltablue,0,98845.6,3161.03
python,bench_deltablue,0,99039.4,3246.01
python,bench_deltablue,0,99168,3192.34
python,bench_deltablue,0,128091,3204.7
python,bench_deltablue,0,99441.3,3762.11
python,bench_deltablue,0,106509,3863.69
python,bench_deltablue,0,106488,3537.77
python,bench_fannkuch,0,82126.7,3429.32
python,bench_fannkuch,0,80022,3196.22
python,bench_fannkuch,0,80218,3353.94
python,bench_fannkuch,0,80344.3,3252.45
python,bench_fannkuch,0,79991.1,3175.21
python,bench_fannkuch,0,79964,3170.79
python,bench_fannkuch,0,79854.3,3181.74
python,bench_fannkuch,0,79988.8,3211.15
python,bench_fannkuch,0,79986.3,3288.34
python,bench_fannkuch,0,80235,3182.35
python,bench_float,0,109392,3723.34
python,bench_float,0,109455,3545.89
python,bench_float,0,109311,3737.35
python,bench_float,0,115684,3488.51
python,bench_float,0,140407,3909.69
python,bench_float,0,109449,3707.85
python,bench_float,0,113309,4507.81
python,bench_float,0,109600,3553.11
python,bench_float,0,109130,3630
python,bench_float,0,109610,3542.89
python,bench_go,0,768917,3580.67
python,bench_go,0,768942,3392.33
python,bench_go,0,785961,3846.42
python,bench_go,0,769421,3738.05
python,bench_go,0,768573,5058.69
python,bench_go,0,770586,3632.62
python,bench_go,0,767446,3525.41
python,bench_go,0,766846,3558.42
python,bench_go,0,769454,3452.1
python,bench_go,0,785849,4008.01
python,bench_hexiom,0,350352,3364.43
python,bench_hexiom,0,350024,3298.4
python,bench_hexiom,0,353982,5279.39
python,bench_hexiom,0,351012,3509.62
python,bench_hexiom,0,349814,3322.34
python,bench_hexiom,0,349594,3256.67
python,bench_hexiom,0,349652,3353.42
python,bench_hexiom,0,351676,3570.12
python,bench_hexiom,0,351128,3274.41
python,bench_hexiom,0,349811,3445
python,bench_json_dumps,0,652302,4023.31
python,bench_json_dumps,0,641709,3648.48
python,bench_json_dumps,0,655369,3853.62
python,bench_json_dumps,0,645859,3739.58
python,bench_json_dumps,0,648974,3888.6
python,bench_json_dumps,0,650081,3637.65
python,bench_json_dumps,0,650012,5609.13
python,bench_json_dumps,0,653132,4171.7
python,bench_json_dumps,0,691877,4073.8
python,bench_json_dumps,0,646276,3786.9
python,bench_json_loads,0,203036,3256.01
python,bench_json_loads,0,202406,3291.64
python,bench_json_loads,0,204536,3615.98
python,bench_json_loads,0,204129,3328.25
python,bench_json_loads,0,203452,3265.27
python,bench_json_loads,0,202196,3237.39
python,bench_json_loads,0,202698,3318.1
python,bench_json_loads,0,202815,3373.31
python,bench_json_loads,0,202678,3258.85
python,bench_json_loads,0,203812,3266.52
python,bench_logging,0,234244,3425.5
python,bench_logging,0,235050,3313.22
python,bench_logging,0,234208,3317.17
python,bench_logging,0,234956,3326.24
python,bench_logging,0,234265,3385
python,bench_logging,0,251635,3989.79
python,bench_logging,0,235235,3355.67
python,bench_logging,0,233296,3284.9
python,bench_logging,0,232453,3343.1
python,bench_logging,0,233917,3358.23
python,bench_mdp,0,7.96495e+06,6239.19
python,bench_mdp,0,7.96462e+06,4487.58
python,bench_mdp,0,7.94863e+06,5931.86
